name,fame_pct,popularity_pct
Calvin Klein,100,66
Ralph Lauren,98,53
Hugo Boss,97,52
Yves Saint Laurent,88,52
Estée Lauder,94,51
Swarovski,89,48
Tommy Hilfiger,94,48
Chanel,93,48
Dior,87,47
Prada,95,46
Paco Rabanne,89,46
Armani,90,44
Vivienne Westwood,96,43
Lancôme,71,43
Gucci,98,42
Cartier,91,41
Harrods,95,40
Tiffany & Co.,84,40
Dolce & Gabbana,88,39
Barbour,76,39
L’Occitane,72,39
Jo Malone,72,38
Michael Kors,75,38
Burberry,93,38
Ted Baker,88,37
Jean-Paul Gaultier,84,36
DKNY,86,35
Jimmy Choo,91,35
Versace,85,35
Stella McCartney,84,34
Hermès,79,34
Tom Ford,63,34
Paul Smith,69,33
Louis Vuitton,95,31
Givenchy,73,31
Breitling,54,31
Marc Jacobs,70,30
Montblanc,65,28
Moschino,62,27
Police,69,26
Issey Miyake,47,25
Mulberry,69,25
Vera Wang,55,24
Asprey,50,24
Alexander McQueen,66,24
Valentino,48,23
Agent Provocateur,59,23
Dunhill,69,22
Bulgari,60,21
Guerlain,40,20
De Beers,45,18
Church's,32,18
Balenciaga,53,17
Balmain,40,17
Manolo Blahnik,32,16
Miu Miu,40,15
Fendi,47,15
Alexander Wang,40,15
Celine,35,14
Bottega Veneta,26,13
Aquascutum,31,13
Duchamp,25,12
Pomellato,18,10
Escada,27,9
Zuhair Murad,20,9
Off-White,22,9
The Row,14,8
Piaget,14,7
Ermenegildo Zegna,13,7
Brioni,12,7
Salvatore Ferragamo,14,7
Loro Piana,13,6
Berluti,9,5
Sergio Rossi,21,5
Rimowa,9,5
